"","Slide","Click1","Click2","Click3","Transition","Validation"
"1","fruit.bmp",1,2,3,"Surface","Surface"
"2","intro.bmp",7,8,9,"Surface","Surface"
"3","0.bmp",4,6,9,"Invalid","Invalid"
"4","1.bmp",1,4,7,"Surface","Invalid"
"5","2.bmp",3,6,9,"Surface","Surface"
"6","3.bmp",2,5,8,"Surface","Invalid"
"7","4.bmp",3,6,9,"Surface","Meaningful"
"8","5.bmp",1,4,7,"Surface","Surface"
"9","6.bmp",1,4,7,"Surface","Surface"
"10","7.bmp",1,3,6,"Invalid","Invalid"
"11","8.bmp",3,6,9,"Surface","Surface"
"12","9.bmp",4,7,9,"Surface","Surface"
"13","10.bmp",3,5,6,"Surface","Surface"
"14","11.bmp",1,2,7,"Surface","Invalid"
