"","Slide","Click1","Click2","Click3","Transition","Validation"
"1","fruit.bmp",1,2,3,"Surface","Surface"
"2","intro.bmp",1,2,3,"Surface","Surface"
"3","0.bmp",1,4,7,"Surface","Surface"
"4","1.bmp",3,6,9,"Surface","Invalid"
"5","2.bmp",3,6,9,"Surface","Surface"
"6","3.bmp",3,6,9,"Surface","Invalid"
"7","4.bmp",3,6,9,"Surface","Invalid"
"8","5.bmp",1,4,7,"Surface","Surface"
"9","6.bmp",1,4,7,"Surface","Surface"
"10","7.bmp",3,4,6,"Invalid","Surface"
"11","8.bmp",3,6,9,"Surface","Surface"
"12","9.bmp",1,3,6,"Surface","Surface"
"13","10.bmp",2,4,7,"Surface","Surface"
"14","11.bmp",1,2,7,"Surface","Invalid"
