"","Slide","Click1","Click2","Click3","Transition","Validation"
"1","fruit.bmp",NA,NA,NA,"Invalid","Invalid"
"2","intro.bmp",7,8,9,"Surface","Surface"
"3","0.bmp",2,5,8,"Surface","Surface"
"4","1.bmp",3,6,9,"Surface","Surface"
"5","2.bmp",1,4,7,"Surface","Invalid"
"6","3.bmp",1,4,7,"Surface","Surface"
"7","4.bmp",2,3,9,"Invalid","Surface"
"8","5.bmp",1,4,7,"Surface","Surface"
"9","6.bmp",1,4,7,"Surface","Surface"
"10","7.bmp",3,4,6,"Invalid","Surface"
"11","8.bmp",1,4,7,"Surface","Surface"
"12","9.bmp",2,5,8,"Surface","Invalid"
"13","10.bmp",2,4,7,"Surface","Surface"
"14","11.bmp",1,2,7,"Surface","Invalid"
